source,timestamp,total_records,scraper_version,name,address,latitude,longitude,category,phone,website,rating,features,scraped_at
OpenStreetMap,2025-05-24T00:05:48.741297,1336.0,1.0,,,,,,,,,,
OpenStreetMapScraper,,,,Good Luck Restaurant,"M Kahn Chowk, Mumbai, 400050",19.0517569,72.8240813,restaurant,02226422250,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Wonton House,"Mumbai, 400050",19.0548735,72.8258922,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Olive Restaurant,,19.0717586,72.8253808,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,SADGURU RESTAURANT,,19.0622302,72.9007583,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Mahesh Lunch Home,"Juhu Tara Road, 400049",19.1036656,72.826663,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Hotel Samudra,Dr BR Ambedkar Road,19.0748494,72.8258483,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Same Place,"Hanuman Road, 400057",19.1030604,72.8477452,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Gajali,"Hanuman Road, 400057",19.1038461,72.8515807,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Daffodils,"Hanuman Road, 400057",19.1036637,72.8523076,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Hotel Shree Ganesh,"Hanuman Road, 400057",19.1036532,72.8528496,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Ray's Cafe & Pizzeria,"133, Hill Road, 400050",19.0550265,72.8283822,restaurant,,https://rayscafeandpizzeria.com,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Mezbaan,,19.0707547,72.8224918,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Cafe Madras,"Bhau Daji Road, 400019",19.0276726,72.8550473,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Suzette,"St. John Street, Mumbai, 400050",19.0616511,72.829063,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Papa Pancho Da Dhaba,"St. John Street, 400050",19.0616567,72.8291663,restaurant,,,,[],2025-05-24 00:05:24
OpenStreetMapScraper,,,,Pali Bhavan,"Dr Ambedkar Road, Bandra West, 400050",19.0620905,72.8294205,restaurant,,,,[],2025-05-24 00:05:24
